v_dbid,3485,3301,5327,2171,2691,5579,5297
41007,-1,1,-1,1,-1,1,1
96778,-1,1,X,-1,-1,-1,1
28615,X,0,X,1,X,-1,1
96762,-1,-1,-1,-1,-1,-1,1
96784,1,1,1,1,X,1,-1
28248,1,1,1,1,1,1,-1
96803,-1,0,-1,X,1,-1,1
28301,-1,1,-1,-1,-1,X,1
28279,X,X,1,X,X,1,-1
28511,,,,1,X,,
96735,1,1,X,1,1,1,-1
96858,1,1,1,1,1,1,-1
96994,X,1,1,-1,X,-1,1
97198,-1,1,1,-1,-1,-1,1
96809,-1,0,-1,-1,-1,X,1
97133,-1,0,-1,X,X,-1,1
96878,X,-1,X,1,1,1,X
28424,-1,1,-1,1,-1,-1,1
96705,0,-1,1,1,1,1,0
28120,X,1,,1,1,,
28352,-1,1,-1,-1,-1,-1,1
96933,-1,X,-1,1,X,X,1
96876,1,1,-1,-1,-1,1,1
96901,-1,1,-1,1,-1,1,1
28313,,,,1,,,
23746,-1,0,-1,0,-1,1,1
28112,-1,1,-1,X,-1,0,1
96754,-1,1,-1,1,-1,1,1
1832,0,1,-1,1,-1,-1,1
23894,-1,1,-1,-1,-1,-1,1
1405,X,1,1,1,1,1,-1
4544,,,,1,,,
34234,X,1,1,1,1,1,-1
96726,1,1,1,X,1,1,-1
28409,1,1,1,1,X,1,-1
28253,1,1,1,1,1,1,-1
28251,1,1,1,1,1,1,-1
96656,X,X,1,1,X,X,X
5729,1,1,1,1,1,1,-1
28310,1,1,1,1,1,1,-1
35743,1,1,1,X,1,1,-1
96857,1,1,1,X,X,X,X
96714,,,,X,X,,
23768,1,1,1,1,1,1,-1
23706,1,1,1,1,1,1,-1
96741,1,0,1,1,1,1,-1
997,-1,1,1,-1,-1,-1,1
23788,-1,0,0,-1,X,-1,1
96957,-1,0,0,X,X,0,1
97968,1,1,X,1,-1,X,X
1431,-1,1,-1,1,-1,0,1
96978,-1,1,-1,1,-1,-1,1
39721,-1,1,-1,1,-1,-1,1
23816,-1,X,-1,1,-1,X,X
28393,-1,1,-1,1,X,0,1
28297,-1,1,-1,-1,-1,X,1
33775,-1,1,1,1,1,-1,1
988,-1,1,-1,-1,-1,-1,1
4393,-1,1,,-1,-1,,
28314,1,1,1,X,1,1,-1
37324,X,1,1,1,1,1,X
4432,1,1,1,1,1,1,-1
96739,1,1,X,1,X,1,X
96812,1,1,1,1,1,1,-1
1906,1,1,1,1,1,1,-1
28155,1,1,1,1,1,1,-1
23868,1,1,1,1,1,1,-1
96864,X,1,1,1,1,X,0
1129,1,1,1,1,X,1,-1
96907,X,X,1,X,1,1,-1
28182,X,1,1,1,1,1,-1
28513,X,X,X,X,X,0,X
96796,-1,0,-1,-1,-1,-1,1
4542,X,X,1,X,X,0,1
1917,-1,0,-1,1,X,-1,1
1928,-1,X,-1,1,-1,-1,1
28124,0,1,1,1,-1,1,0
28474,0,1,,1,X,,
33982,-1,1,-1,1,-1,-1,1
96903,0,1,-1,1,-1,X,1
4335,1,X,1,1,X,1,-1
97229,1,1,1,1,1,1,-1
1934,1,1,1,1,1,1,-1
28162,,,,X,X,,
22097,X,1,1,1,X,1,-1
38595,,,,X,X,,
1407,1,1,1,1,1,1,-1
4466,,,,1,,,
28134,,,,,,,
4525,X,X,0,X,X,0,0
23712,0,-1,0,1,1,X,1
4246,-1,1,-1,1,-1,-1,1
29074,X,1,-1,1,-1,X,1
28229,-1,1,-1,1,-1,-1,1
23821,-1,1,-1,1,-1,1,1
28167,-1,1,-1,X,-1,1,X
28362,X,X,-1,X,-1,-1,1
4342,-1,1,-1,1,-1,-1,1
97058,1,1,1,1,1,1,-1
28242,1,1,1,1,1,1,-1
28233,1,1,1,1,1,1,-1
28340,0,1,1,X,1,1,0
96672,1,1,1,1,1,1,-1
1911,X,X,X,X,X,X,X
2295,1,1,1,1,1,1,-1
28342,X,1,1,1,1,1,-1
96650,1,X,,1,1,,
118860,,,-1,,,1,1
97024,,,,,,,
108570,1,1,1,,1,1,-1
113959,1,1,X,,,1,-1
113892,1,1,X,,,1,-1
111033,-1,1,-1,,-1,-1,X
96877,,,,,,,
72776,,,,,,,
116823,,,X,,,1,X
1759,,,,,,,
97002,,,,,,,
113883,X,X,-1,,,-1,1
112014,1,1,1,,1,1,-1
96947,-1,X,-1,,,-1,1
118709,,,1,,,-1,1
113891,1,1,1,,,1,-1
118710,,,1,,,1,-1
96893,,,,,,,
116816,,,-1,,,0,1
111126,-1,1,-1,,X,-1,1
111823,1,1,1,,1,1,-1
